Method,Position (m),Water_Depth (m),Discharge (m^3/s)
PREISSMANN,250.0,0.8064831143313682,8.000000200881846
PREISSMANN,255.0,0.8064831146945036,8.000000205931151
PREISSMANN,260.0,0.8064831150591486,8.000000211027652
PREISSMANN,265.0,0.8064831154252827,8.000000216171282
PREISSMANN,270.0,0.8064831157928836,8.000000221361983
PREISSMANN,275.0,0.8064831161619284,8.000000226599704
PREISSMANN,280.0,0.8064831165323934,8.000000231884396
PREISSMANN,285.0,0.8064831169042543,8.000000237215989
PREISSMANN,290.0,0.8064831172774878,8.000000242594409
PREISSMANN,295.0,0.8064831176520693,8.00000024801956
PREISSMANN,300.0,0.8064831180279752,8.000000253491335
PREISSMANN,305.0,0.8064831184051812,8.000000259009594
PREISSMANN,310.0,0.8064831187836636,8.000000264574197
PREISSMANN,315.0,0.8064831191633988,8.000000270184984
PREISSMANN,320.0,0.8064831195443625,8.00000027584177
PREISSMANN,325.0,0.8064831199265303,8.000000281544374
PREISSMANN,330.0,0.8064831203098788,8.000000287292591
PREISSMANN,335.0,0.8064831206943832,8.000000293086215
PREISSMANN,340.0,0.8064831210800186,8.000000298925027
PREISSMANN,345.0,0.8064831214667602,8.000000304808795
PREISSMANN,350.0,0.8064831218545825,8.000000310737292
PREISSMANN,355.0,0.8064831222434597,8.000000316710274
PREISSMANN,360.0,0.8064831226333661,8.000000322727496
PREISSMANN,365.0,0.8064831230242752,8.000000328788698
PREISSMANN,370.0,0.8064831234161599,8.00000033489362
PREISSMANN,375.0,0.8064831238089939,8.000000341041991
PREISSMANN,380.0,0.8064831242027489,8.00000034723353
PREISSMANN,385.0,0.8064831245973981,8.000000353467955
PREISSMANN,390.0,0.8064831249929133,8.000000359744972
PREISSMANN,395.0,0.806483125389266,8.000000366064272
PREISSMANN,400.0,0.8064831257864283,8.000000372425546
PREISSMANN,405.0,0.8064831261843709,8.000000378828478
PREISSMANN,410.0,0.8064831265830648,8.000000385272736
PREISSMANN,415.0,0.806483126982481,8.000000391757982
PREISSMANN,420.0,0.8064831273825895,8.000000398283872
PREISSMANN,425.0,0.8064831277833607,8.000000404850049
PREISSMANN,430.0,0.8064831281847646,8.000000411456158
PREISSMANN,435.0,0.8064831285867704,8.000000418101818
PREISSMANN,440.0,0.8064831289893477,8.00000042478666
PREISSMANN,445.0,0.8064831293924654,8.000000431510289
PREISSMANN,450.0,0.8064831297960924,8.000000438272314
PREISSMANN,455.0,0.8064831302001969,8.000000445072333
PREISSMANN,460.0,0.8064831306047474,8.00000045190993
PREISSMANN,465.0,0.8064831310097118,8.000000458784685
PREISSMANN,470.0,0.8064831314150577,8.000000465696168
PREISSMANN,475.0,0.8064831318207528,8.000000472643947
PREISSMANN,480.0,0.8064831322267644,8.000000479627566
PREISSMANN,485.0,0.8064831326330593,8.000000486646572
PREISSMANN,490.0,0.8064831330396048,8.0000004937005
PREISSMANN,495.0,0.8064831334463675,8.000000500788873
PREISSMANN,500.0,0.806483133853314,8.000000507911198
PREISSMANN,505.0,0.8064831342604108,8.000000515066981
PREISSMANN,510.0,0.8064831346676249,8.000000522255709
PREISSMANN,515.0,0.8064831350749221,8.000000529476857
PREISSMANN,520.0,0.8064831354822691,8.00000053672989
PREISSMANN,525.0,0.8064831358896326,8.00000054401426
PREISSMANN,530.0,0.806483136296979,8.0000005513294
PREISSMANN,535.0,0.8064831367042747,8.000000558674737
PREISSMANN,540.0,0.806483137111487,8.00000056604968
PREISSMANN,545.0,0.8064831375185824,8.000000573453617
PREISSMANN,550.0,0.8064831379255282,8.000000580885938
PREISSMANN,555.0,0.8064831383322915,8.000000588346007
PREISSMANN,560.0,0.8064831387388394,8.000000595833177
PREISSMANN,565.0,0.8064831391451395,8.000000603346797
PREISSMANN,570.0,0.8064831395511592,8.000000610886197
PREISSMANN,575.0,0.8064831399568658,8.000000618450708
PREISSMANN,580.0,0.8064831403622268,8.000000626039641
PREISSMANN,585.0,0.8064831407672094,8.000000633652318
PREISSMANN,590.0,0.8064831411717801,8.000000641288052
PREISSMANN,595.0,0.806483141575906,8.000000648946159
PREISSMANN,600.0,0.8064831419795527,8.000000656625955
PREISSMANN,605.0,0.8064831423826854,8.000000664326777
